# POI walkthrough summary
# press  idx  poi_name             ocr_text                 score
  1    ---  ---                 BONE & INK               0.00
  2    ---  ---                 BONE & INK               0.00
  3    ---  ---                 BONE & INK               0.00
  4    ---  ---                 BONE & INK               0.00
  5    ---  ---                 BONE & INK               0.00
  6    ---  ---                 BONE & INK               0.00
  7    ---  ---                 BONE & INK               0.00
  8    ---  ---                 BONE & INK               0.00
  9    ---  ---                 BONE & INK               0.00
 10    ---  ---                 BONE & INK               0.00
 11    ---  ---                 BONE & INK               0.00
 12    ---  ---                 BONE & INK               0.00
 13    ---  ---                 BONE & INK               0.00
 14     10  P22 ISLAND           P22 ISLAND               1.00
 16     48  LOVE CANAL           LOVE CANAL               1.00
 17     30  FEIGENBAUM ZOOM      FEIGENBAUM ZOOM          1.00
 18     26  JULIA ISLANDS        JULIA ISLANDS            1.00
 19      1  P3 ISLAND            P3 ISLAND                1.00
 20     36  MISIUREWICZ -1.94    MISIUREWICZ -194         0.97
 21      0  P6 SUB BULB          P6 SUB BULB              1.00
 22     49  P5 ISLAND DEEP       P5 ISLAND DEEP           1.00
 23     67  M3,1 1/3 LIMB TIP    M31 13 LIMB TIP          0.94
 24     80  TRIPLE SPIRAL P4     TRIPLE SPIRAL P4         1.00
 25     57  EJS PERIOD 44        EJS PERIOD 44            1.00
 26      5  P6 ISLAND            P6 ISLAND                1.00
 27     61  R2 HALF ISLE         R2 HALF ISLE             1.00
 28     17  SEAHORSE TAIL        SEAHORSE TAIL            1.00
 29     86  P3 BULB UPPER        P3 BULB UPPER            1.00
 30     23  SAT HEAD             SAT HEAD                 1.00
 31     84  M(7,7) WAKE 1/4 DP   M77 WAKE 14 DP           0.88
 32     60  SH CUSP FINE         SH CUSP FINE             1.00
 33     58  JEWEL BOX            JEWEL BOX                1.00
 34      9  P11 ISLAND           P11 ISLAND               1.00
 35     33  MISIUREWICZ M4       MISIUREWICZ M4           1.00
 36     20  DOUBLE HOOK          DOUBLE HOOK              1.00
 37     73  EJS WAKE 1/4         EJS WAKE 14              0.96
 38     14  ELEPHANT P19         ELEPHANT P19             1.00
 39      4  P5 ISLAND            P5 ISLAND                1.00
 40     25  SAT DBL SPIRAL       SAT DBL SPIRAL           1.00
 41     85  EJS P47 GAMMA        EJS P47 GAMMA            1.00
 42     79  BEYER STEP 14        BEYER STEP 14            1.00
 43     59  R2T P6 ISLAND        R2T P6 ISLAND            1.00
 44     19  SEAHORSE TAIL2       SEAHORSE TAIL2           1.00
 45    ---  ---                 H %%   4G  %%  L %D/ 4N4X( 0.00
 46     63  SCEPTER MED          SCEPTER MED              1.00
 47     89  P3 BULB DEEP         P3 BULB DEEP             1.00
 48     39  SINGLE SPIRAL        SINGLE SPIRAL            1.00
 49     66  NEEDLE MED           NEEDLE MED               1.00
 50     87  P3 BULB LOWER        P3 BULB LOWER            1.00
 51     54  CONCHA APPROACH      CONCHA APPROACH          1.00
 52     40  TRIPLE MEDALLION     TRIPLE MEDALLION         1.00
 53     31  FEIGENBAUM DEEP      FEIGENBAUM DEEP          1.00
